PLAYER,TEAM,INJURED ON,RETURNED,DAYS MISSED,Injury
Daniel Theis,Celtics,26 October 2019,30 October 2019,4,Sprained left ankle
Bojan Bogdanovic,Jazz,25 October 2019,26 October 2019,1,Sprained left ankle
D.J. Wilson,Bucks,08 May 2019,17 May 2019,9,Sprained left ankle
Tony Snell,Bucks,28 March 2019,20 April 2019,23,Sprained left ankle
Tony Snell,Bucks,26 March 2019,28 March 2019,2,Sprained left ankle
Aron Baynes,Celtics,23 March 2019,24 March 2019,1,Sprained left ankle
Kyle Lowry,Raptors,14 March 2019,18 March 2019,4,Sprained left ankle
Dante Exum,Jazz,07 January 2019,11 March 2019,63,Sprained left ankle
Domantas Sabonis,Pacers,27 February 2019,10 March 2019,11,Sprained left ankle
DeAndre Jordan,Knicks,24 February 2019,06 March 2019,10,Sprained left ankle
Jahlil Okafor,Pelicans,04 March 2019,06 March 2019,2,Sprained left ankle
Kevin Huerter,Hawks,22 February 2019,25 February 2019,3,Sprained left ankle
Tyus Jones,Timberwolves,18 January 2019,22 February 2019,35,Sprained left ankle
Jahlil Okafor,Pelicans,08 February 2019,12 February 2019,4,Sprained left ankle
Rudy Gay,Spurs,09 February 2019,12 February 2019,3,Sprained left ankle
Jamal Murray,Nuggets,26 January 2019,06 February 2019,11,Sprained left ankle
David Nwaba,Cavaliers,26 December 2018,02 February 2019,38,Sprained left ankle
Luke Kornet,Knicks,23 January 2019,01 February 2019,9,Sprained left ankle
Reggie Bullock,Pistons,29 January 2019,31 January 2019,2,Sprained left ankle
Kyle Anderson,Grizzlies,14 January 2019,28 January 2019,14,Sprained left ankle
Henry Ellenson,Pistons,21 January 2019,25 January 2019,4,Sprained left ankle
Dewayne Dedmon,Hawks,15 January 2019,19 January 2019,4,Sprained left ankle
Henry Ellenson,Pistons,12 December 2018,19 January 2019,38,Sprained left ankle
Frank Ntilikina,Knicks,07 January 2019,13 January 2019,6,Sprained left ankle
Glenn Robinson III,Pistons,11 December 2018,30 December 2018,19,Sprained left ankle
John Collins,Hawks,23 December 2018,26 December 2018,3,Sprained left ankle
Brandon Ingram,Lakers,07 December 2018,21 December 2018,14,Sprained left ankle
J.J. Barea,Mavericks,13 December 2018,18 December 2018,5,Sprained left ankle
Kyle Anderson,Grizzlies,15 December 2018,17 December 2018,2,Sprained left ankle
Marquese Chriss,Rockets,07 December 2018,17 December 2018,10,Sprained left ankle
Reggie Bullock,Pistons,05 December 2018,15 December 2018,10,Sprained left ankle
Aron Baynes,Celtics,10 December 2018,12 December 2018,2,Sprained left ankle
Aron Baynes,Celtics,08 December 2018,10 December 2018,2,Sprained left ankle
Sam Dekker,Wizards,30 November 2018,10 December 2018,10,Sprained left ankle
CJ McCollum,Blazers,06 December 2018,08 December 2018,2,Sprained left ankle
Terrance Ferguson,Thunder,23 November 2018,03 December 2018,10,Sprained left ankle
Hamidou Diallo,Thunder,23 November 2018,30 November 2018,7,Sprained left ankle
Sam Dekker,Cavaliers,07 November 2018,28 November 2018,21,Sprained left ankle
Avery Bradley,Clippers,05 November 2018,19 November 2018,14,Sprained left ankle
Russell Westbrook,Thunder,06 November 2018,17 November 2018,11,Sprained left ankle
Aaron Gordon,Magic,11 November 2018,12 November 2018,1,Sprained left ankle
Donovan Mitchell,Jazz,05 November 2018,07 November 2018,2,Sprained left ankle
Rodions Kurucs,Nets,24 October 2018,02 November 2018,9,Sprained left ankle
Marquese Chriss,Rockets,16 October 2018,30 October 2018,14,Sprained left ankle
Cristiano Felicio,Bulls,18 October 2018,24 October 2018,6,Sprained left ankle
TJ Leaf,Pacers,18 October 2018,24 October 2018,6,Sprained left ankle
George Hill,Cavaliers,01 April 2018,09 April 2018,8,Sprained left ankle
Damian Lillard,Blazers,05 April 2018,07 April 2018,2,Sprained left ankle
James Johnson,Heat,04 April 2018,06 April 2018,2,Sprained left ankle
Alex Len,Suns,28 March 2018,03 April 2018,6,Sprained left ankle
Chris Boucher,Warriors,27 March 2018,31 March 2018,4,Sprained left ankle
Domantas Sabonis,Pacers,15 March 2018,27 March 2018,12,Sprained left ankle
Dennis Smith Jr.,Mavericks,20 March 2018,24 March 2018,4,Sprained left ankle
John Collins,Hawks,19 March 2018,23 March 2018,4,Sprained left ankle
Myles Turner,Pacers,17 March 2018,19 March 2018,2,Sprained left ankle
Norman Powell,Raptors,15 March 2018,18 March 2018,3,Sprained left ankle
Anthony Davis,Pelicans,09 March 2018,11 March 2018,2,Sprained left ankle
Russell Westbrook,Thunder,08 February 2018,13 February 2018,5,Sprained left ankle
Dejounte Murray,Spurs,09 February 2018,12 February 2018,3,Sprained left ankle
Harrison Barnes,Mavericks,05 February 2018,10 February 2018,5,Sprained left ankle
Johnathan Motley,Mavericks,08 February 2018,10 February 2018,2,Sprained left ankle
Marvin Williams,Hornets,31 January 2018,08 February 2018,8,Sprained left ankle
Marquese Chriss,Suns,29 January 2018,31 January 2018,2,Sprained left ankle
Tyler Johnson,Heat,17 January 2018,27 January 2018,10,Sprained left ankle
DeAndre Jordan,Clippers,13 January 2018,24 January 2018,11,Sprained left ankle
Brandon Ingram,Lakers,19 January 2018,21 January 2018,2,Sprained left ankle
Derrick Rose,Cavaliers,09 November 2017,18 January 2018,70,Sprained left ankle
Marco Belinelli,Hawks,12 January 2018,15 January 2018,3,Sprained left ankle
Michael Beasley,Knicks,07 January 2018,10 January 2018,3,Sprained left ankle
Bojan Bogdanovic,Pacers,06 January 2018,08 January 2018,2,Sprained left ankle
Mike Muscala,Hawks,02 December 2017,02 January 2018,31,Sprained left ankle
Andre Roberson,Thunder,11 December 2017,15 December 2017,4,Sprained left ankle
Nikola Jokic,Nuggets,02 December 2017,13 December 2017,11,Sprained left ankle
Frank Ntilikina,Knicks,29 November 2017,03 December 2017,4,Sprained left ankle
Kevin Durant,Warriors,24 November 2017,29 November 2017,5,Sprained left ankle
Kevin Durant,Warriors,19 November 2017,22 November 2017,3,Sprained left ankle
Mike Muscala,Hawks,06 November 2017,18 November 2017,12,Sprained left ankle
JaMychal Green,Grizzlies,21 October 2017,14 November 2017,24,Sprained left ankle
Kristaps Porzingis,Knicks,08 November 2017,11 November 2017,3,Sprained left ankle
TJ Leaf,Pacers,05 November 2017,07 November 2017,2,Sprained left ankle
Jonas Valanciunas,Raptors,23 October 2017,01 November 2017,9,Sprained left ankle
Derrick Rose,Cavaliers,21 October 2017,29 October 2017,8,Sprained left ankle
Dennis Schroder,Hawks,23 October 2017,27 October 2017,4,Sprained left ankle
Malcolm Brogdon,Bucks,23 October 2017,26 October 2017,3,Sprained left ankle
Alex Len,Suns,18 October 2017,20 October 2017,2,Sprained left ankle
Kawhi Leonard,Spurs,16 May 2017,22 May 2017,6,Sprained left ankle
Kawhi Leonard,Spurs,11 May 2017,14 May 2017,3,Sprained left ankle
Chasson Randle,Knicks,06 April 2017,07 April 2017,1,Sprained left ankle
Lance Stephenson,Timberwolves,15 March 2017,18 March 2017,3,Sprained left ankle
DeMarre Carroll,Raptors,08 March 2017,10 March 2017,2,Sprained left ankle
Dion Waiters,Heat,08 February 2017,13 February 2017,5,Sprained left ankle
Derrick Rose,Knicks,29 January 2017,06 February 2017,8,Sprained left ankle
Joe Harris,Nets,23 January 2017,01 February 2017,9,Sprained left ankle
Joakim Noah,Knicks,18 January 2017,21 January 2017,3,Sprained left ankle
Ed Davis,Blazers,17 January 2017,20 January 2017,3,Sprained left ankle
Nerlens Noel,76ers,16 January 2017,18 January 2017,2,Sprained left ankle
Aron Baynes,Pistons,01 January 2017,08 January 2017,7,Sprained left ankle
Damian Lillard,Blazers,26 December 2016,05 January 2017,10,Sprained left ankle
Marco Belinelli,Hornets,31 December 2016,04 January 2017,4,Sprained left ankle
Rodney McGruder,Heat,19 December 2016,27 December 2016,8,Sprained left ankle
Evan Turner,Blazers,21 December 2016,26 December 2016,5,Sprained left ankle
Nerlens Noel,76ers,14 December 2016,16 December 2016,2,Sprained left ankle
Moe Harkless,Blazers,08 December 2016,10 December 2016,2,Sprained left ankle
Courtney Lee,Knicks,02 December 2016,06 December 2016,4,Sprained left ankle
Joakim Noah,Knicks,30 November 2016,04 December 2016,4,Sprained left ankle
Jae Crowder,Celtics,03 November 2016,19 November 2016,16,Sprained left ankle
Rajon Rondo,Bulls,15 November 2016,19 November 2016,4,Sprained left ankle
Goran Dragic,Heat,11 November 2016,17 November 2016,6,Sprained left ankle
Paul George,Pacers,12 November 2016,14 November 2016,2,Sprained left ankle
Patrick McCaw,Warriors,30 October 2016,07 November 2016,8,Sprained left ankle
Lance Thomas,Knicks,04 November 2016,06 November 2016,2,Sprained left ankle
Marcus Smart,Celtics,26 October 2016,02 November 2016,7,Sprained left ankle
Nicolas Batum,Hornets,23 April 2016,27 April 2016,4,Sprained left ankle
Justise Winslow,Heat,12 April 2016,13 April 2016,1,Sprained left ankle
Andre Iguodala,Warriors,14 March 2016,05 April 2016,22,Sprained left ankle
Marvin Williams,Hornets,22 March 2016,25 March 2016,3,Sprained left ankle
James Johnson,Raptors,02 February 2016,19 February 2016,17,Sprained left ankle
Noah Vonleh,Blazers,04 February 2016,10 February 2016,6,Sprained left ankle
Ish Smith,76ers,06 February 2016,08 February 2016,2,Sprained left ankle
Rudy Gay,Kings,07 February 2016,08 February 2016,1,Sprained left ankle
DeMarcus Cousins,Kings,30 January 2016,03 February 2016,4,Sprained left ankle
Dwight Howard,Rockets,21 January 2016,27 January 2016,6,Sprained left ankle
Ian Mahinmi,Pacers,22 January 2016,26 January 2016,4,Sprained left ankle
Patrick Beverley,Rockets,20 January 2016,24 January 2016,4,Sprained left ankle
Danilo Gallinari,Nuggets,22 December 2015,02 January 2016,11,Sprained left ankle
Harrison Barnes,Warriors,28 November 2015,02 January 2016,35,Sprained left ankle
James Johnson,Raptors,22 December 2015,26 December 2015,4,Sprained left ankle
Julius Randle,Lakers,23 December 2015,25 December 2015,2,Sprained left ankle
LaMarcus Aldridge,Spurs,21 November 2015,25 November 2015,4,Sprained left ankle
Cody Zeller,Hornets,20 November 2015,23 November 2015,3,Sprained left ankle
Rudy Gobert,Jazz,13 November 2015,15 November 2015,2,Sprained left ankle
Rudy Gobert,Jazz,12 November 2015,13 November 2015,1,Sprained left ankle
CJ McCollum,Blazers,15 April 2015,19 April 2015,4,Sprained left ankle
Andre Roberson,Thunder,24 March 2015,07 April 2015,14,Sprained left ankle
Brandon Knight,Suns,30 March 2015,04 April 2015,5,Sprained left ankle
J.J. Barea,Mavericks,22 March 2015,01 April 2015,10,Sprained left ankle
Jeff Teague,Hawks,27 March 2015,30 March 2015,3,Sprained left ankle
Brandon Knight,Suns,11 March 2015,25 March 2015,14,Sprained left ankle
Dewayne Dedmon,Magic,18 March 2015,25 March 2015,7,Sprained left ankle
Tobias Harris,Magic,18 March 2015,25 March 2015,7,Sprained left ankle
Anthony Davis,Pelicans,19 March 2015,22 March 2015,3,Sprained left ankle
DeMarcus Cousins,Kings,27 February 2015,03 March 2015,4,Sprained left ankle
Tyson Chandler,Mavericks,11 February 2015,19 February 2015,8,Sprained left ankle
Tobias Harris,Magic,14 January 2015,21 January 2015,7,Sprained left ankle
Cory Joseph,Spurs,26 November 2014,10 January 2015,45,Sprained left ankle
Isaiah Canaan,Rockets,13 December 2014,17 December 2014,4,Sprained left ankle
Nerlens Noel,76ers,07 November 2014,13 November 2014,6,Sprained left ankle
Taj Gibson,Bulls,01 November 2014,04 November 2014,3,Sprained left ankle
Dwight Howard,Rockets,09 April 2014,12 April 2014,3,Sprained left ankle
Terrence Ross,Raptors,02 March 2014,07 March 2014,5,Sprained left ankle
Meyers Leonard,Blazers,19 February 2014,01 March 2014,10,Sprained left ankle
Nikola Vucevic,Magic,04 January 2014,06 January 2014,2,Sprained left ankle
Brook Lopez,Nets,18 November 2013,29 November 2013,11,Sprained left ankle
Tobias Harris,Magic,23 November 2013,24 November 2013,1,Sprained left ankle
Bradley Beal,Wizards,06 March 2013,16 March 2013,10,Sprained left ankle
Dion Waiters,Cavaliers,05 December 2012,18 December 2012,13,Sprained left ankle
J.J. Barea,Timberwolves,09 March 2012,12 March 2012,3,Sprained left ankle
LaMarcus Aldridge,Blazers,15 February 2012,18 February 2012,3,Sprained left ankle
J.J. Barea,Timberwolves,27 January 2012,01 February 2012,5,Sprained left ankle
Taj Gibson,Bulls,23 January 2012,27 January 2012,4,Sprained left ankle
Marvin Williams,Hawks,09 January 2012,12 January 2012,3,Sprained left ankle
Garrett Temple,Bobcats,23 March 2011,25 March 2011,2,Sprained left ankle
Michael Beasley,Timberwolves,12 February 2011,21 February 2011,9,Sprained left ankle
LeBron James,Heat,15 January 2011,18 January 2011,3,Sprained left ankle
Mike Muscala,Hawks,18 January 2017,27 January 2017,9,Sore/sprained left ankle
Denzel Valentine,Bulls,04 January 2017,07 January 2017,3,Sore/sprained left ankle
Will Barton,Nuggets,03 November 2016,20 November 2016,17,Sore/sprained left ankle
Wilson Chandler,Nuggets,25 March 2011,30 March 2011,5,Sore/sprained left ankle
Josh Richardson,Heat,30 November 2016,10 December 2016,10,Sore/sprained right ankle
Juancho Hernangomez,Nuggets,25 November 2016,30 November 2016,5,Sore/sprained right ankle
Andre Drummond,Pistons,14 November 2016,16 November 2016,2,Sore/sprained right ankle
Derrick Rose,Bulls,17 January 2012,23 January 2012,6,Sprained left big toe / turf toe
Klay Thompson,Mavericks,13 February 2025,20 February 2025,7,Sprained left foot
Desmond Bane,Grizzlies,03 February 2025,08 February 2025,5,Sprained left foot
Toumani Camara,Blazers,28 December 2024,30 December 2024,2,Sprained left foot
Keldon Johnson,Spurs,30 March 2024,07 April 2024,8,Sprained left foot
Marcus Smart,Grizzlies,17 November 2023,26 December 2023,39,Sprained left foot
Kyrie Irving,Mavericks,15 November 2023,17 November 2023,2,Sprained left foot
Kyrie Irving,Mavericks,30 October 2023,03 November 2023,4,Sprained left foot
Keldon Johnson,Spurs,02 March 2023,05 March 2023,3,Sprained left foot
Stephen Curry,Warriors,17 March 2022,16 April 2022,30,Sprained left foot
Alex Caruso,Bulls,21 December 2021,19 January 2022,29,Sprained left foot
Davis Bertans,Wizards,15 January 2022,16 January 2022,1,Sprained left foot
Davis Bertans,Wizards,07 January 2022,09 January 2022,2,Sprained left foot
Rodney Hood,Blazers,14 February 2021,17 February 2021,3,Sprained left foot
Derrick Jones Jr.,Blazers,29 January 2021,06 February 2021,8,Sprained left foot
Landry Shamet,Clippers,11 August 2020,17 August 2020,6,Sprained left foot
Marco Belinelli,Spurs,02 August 2020,05 August 2020,3,Sprained left foot
Otto Porter Jr.,Bulls,09 November 2019,02 March 2020,114,Sprained left foot
Markieff Morris,Pistons,28 December 2019,11 January 2020,14,Sprained left foot
Matthew Dellavedova,Cavaliers,04 January 2019,08 January 2019,4,Sprained left foot
Tristan Thompson,Cavaliers,12 December 2018,02 January 2019,21,Sprained left foot
Jonathan Isaac,Magic,22 March 2018,30 March 2018,8,Sprained left foot
Nemanja Bjelica,Timberwolves,24 November 2017,25 December 2017,31,Sprained left foot
Trevor Ariza,Rockets,25 October 2017,28 October 2017,3,Sprained left foot
Josh Richardson,Heat,07 January 2017,24 February 2017,48,Sprained left foot
Michael Beasley,Bucks,23 December 2016,26 December 2016,3,Sprained left foot
Michael Beasley,Bucks,15 December 2016,23 December 2016,8,Sprained left foot
LaMarcus Aldridge,Blazers,10 April 2015,15 April 2015,5,Sprained left foot
John Henson,Bucks,13 December 2014,26 December 2014,13,Sprained left foot
Andre Roberson,Thunder,04 November 2014,19 November 2014,15,Sprained left foot
Vince Carter,Mavericks,23 January 2012,27 January 2012,4,Sprained left foot
Tyrese Maxey,76ers,14 January 2025,15 January 2025,1,Sprained left hand
Kelly Oubre Jr.,76ers,01 January 2025,06 January 2025,5,Sprained left hand
Jaylen Brown,Celtics,12 April 2024,21 April 2024,9,Sprained left hand
Jaylen Brown,Celtics,05 April 2024,07 April 2024,2,Sprained left hand
Jaylen Brown,Celtics,01 April 2024,03 April 2024,2,Sprained left hand
Derrick White,Celtics,16 March 2024,18 March 2024,2,Sprained left hand
Kyle Lowry,Heat,10 January 2024,14 January 2024,4,Sprained left hand
Kelly Oubre Jr.,Hornets,02 January 2023,23 February 2023,52,Sprained left hand
Kelly Oubre Jr.,Hornets,27 December 2022,29 December 2022,2,Sprained left hand
Rudy Gay,Jazz,15 November 2022,07 December 2022,22,Sprained left hand
Alex Len,Suns,12 January 2016,19 January 2016,7,Sprained left hand
Trey Lyles,Kings,13 March 2024,31 March 2024,18,Sprained left knee
Kyle Anderson,Timberwolves,28 February 2024,03 March 2024,4,Sprained left knee
Shai Gilgeous-Alexander,Thunder,03 November 2023,06 November 2023,3,Sprained left knee
Tyler Herro,Heat,23 March 2022,26 March 2022,3,Sprained left knee
E'Twaun Moore,Magic,19 October 2021,10 February 2022,114,Sprained left knee
Kelly Olynyk,Pistons,11 November 2021,19 January 2022,69,Sprained left knee
Markus Howard,Nuggets,17 December 2021,13 January 2022,27,Sprained left knee
Max Strus,Heat,01 November 2021,11 November 2021,10,Sprained left knee
Giannis Antetokounmpo,Bucks,27 March 2021,28 March 2021,1,Sprained left knee
Giannis Antetokounmpo,Bucks,22 March 2021,24 March 2021,2,Sprained left knee
Paul Millsap,Nuggets,15 February 2021,12 March 2021,25,Sprained left knee
Shai Gilgeous-Alexander,Thunder,09 February 2021,17 February 2021,8,Sprained left knee
Nassir Little,Blazers,02 February 2021,11 February 2021,9,Sprained left knee
Shai Gilgeous-Alexander,Thunder,02 February 2021,06 February 2021,4,Sprained left knee
Giannis Antetokounmpo,Bucks,08 March 2020,31 July 2020,145,Sprained left knee
Jaren Jackson Jr.,Grizzlies,24 February 2020,31 July 2020,158,Sprained left knee
Kevin Porter Jr.,Cavaliers,07 January 2020,27 January 2020,20,Sprained left knee
Karl-Anthony Towns,Timberwolves,20 December 2019,17 January 2020,28,Sprained left knee
Josh Hart,Pelicans,13 November 2019,27 November 2019,14,Sprained left knee
Hamidou Diallo,Thunder,15 November 2019,22 November 2019,7,Sprained left knee
Jrue Holiday,Pelicans,26 October 2019,31 October 2019,5,Sprained left knee
Marvin Bagley III,Kings,01 March 2019,14 March 2019,13,Sprained left knee
Bismack Biyombo,Hornets,08 March 2019,09 March 2019,1,Sprained left knee
Justise Winslow,Heat,23 February 2019,27 February 2019,4,Sprained left knee
Rudy Gobert,Jazz,20 December 2017,19 January 2018,30,Sprained left knee
Al-Farouq Aminu,Blazers,14 February 2017,26 February 2017,12,Sprained left knee
Robert Covington,76ers,03 December 2016,08 December 2016,5,Sprained left knee
Dewayne Dedmon,Spurs,16 November 2016,29 November 2016,13,Sprained left knee
Thabo Sefolosha,Hawks,16 November 2016,22 November 2016,6,Sprained left knee
Ersan Ilyasova,Magic,16 March 2016,18 March 2016,2,Sprained left knee
Jimmy Butler,Bulls,06 February 2016,05 March 2016,28,Sprained left knee
Markieff Morris,Suns,14 November 2015,18 November 2015,4,Sprained left knee
Taj Gibson,Bulls,04 April 2013,15 April 2013,11,Sprained left knee
Danilo Gallinari,Knicks,04 January 2011,17 January 2011,13,Sprained left knee
D'Angelo Russell,Lakers,25 December 2024,28 December 2024,3,Sprained left thumb
Daniel Theis,Clippers,07 April 2024,09 April 2024,2,Sprained left thumb
John Konchar,Grizzlies,25 February 2024,02 March 2024,6,Sprained left thumb
Jusuf Nurkic,Suns,28 January 2024,29 January 2024,1,Sprained left thumb
Fred VanVleet,Rockets,29 November 2023,01 December 2023,2,Sprained left thumb
Dalano Banton,Raptors,28 February 2023,02 April 2023,33,Sprained left thumb
Killian Hayes,Pistons,21 November 2021,28 November 2021,7,Sprained left thumb
Killian Hayes,Pistons,05 November 2021,10 November 2021,5,Sprained left thumb
Luka Doncic,Mavericks,01 March 2020,02 March 2020,1,Sprained left thumb
Russell Westbrook,Rockets,04 February 2020,06 February 2020,2,Sprained left thumb
Andrew Wiggins,Timberwolves,06 December 2019,08 December 2019,2,Sprained left thumb
Larry Nance Jr.,Cavaliers,17 November 2019,20 November 2019,3,Sprained left thumb
Clint Capela,Rockets,27 March 2018,30 March 2018,3,Sprained left thumb
John Henson,Bucks,31 March 2017,10 April 2017,10,Sprained left thumb
Chris Paul,Clippers,16 October 2016,27 October 2016,11,Sprained left thumb
LaMarcus Aldridge,Blazers,06 April 2015,08 April 2015,2,Sprained left thumb
Jimmy Butler,Bulls,29 October 2014,01 November 2014,3,Sprained left thumb
Nicolas Batum,Blazers,06 April 2015,08 April 2015,2,Sprained lower back
Jeremy Lamb,Thunder,29 October 2014,07 November 2014,9,Sprained lower back
Charles Bassey,Spurs,04 February 2025,21 February 2025,17,Sprained mcl in left knee
Mason Plumlee,Clippers,07 November 2023,01 January 2024,55,Sprained mcl in left knee
Ish Wainright,Blazers,17 November 2023,15 December 2023,28,Sprained mcl in left knee
Kevin Durant,Nets,16 January 2022,02 March 2022,45,Sprained mcl in left knee
Anthony Davis,Lakers,18 December 2021,25 January 2022,38,Sprained mcl in left knee
Dewayne Dedmon,Heat,24 December 2021,12 January 2022,19,Sprained mcl in left knee
Chris Boucher,Raptors,23 April 2021,11 May 2021,18,Sprained mcl in left knee
Dillon Brooks,Grizzlies,12 November 2018,23 December 2018,41,Sprained mcl in left knee
Kris Dunn,Bulls,24 October 2018,10 December 2018,47,Sprained mcl in left knee
Stephen Curry,Warriors,25 March 2018,01 May 2018,37,Sprained mcl in left knee
Jeff Teague,Timberwolves,28 December 2017,10 January 2018,13,Sprained mcl in left knee
Blake Griffin,Clippers,30 November 2017,29 December 2017,29,Sprained mcl in left knee
Kyle Anderson,Spurs,04 December 2017,20 December 2017,16,Sprained mcl in left knee
Kevin Durant,Warriors,02 March 2017,08 April 2017,37,Sprained mcl in left knee
Rudy Gobert,Jazz,16 December 2015,07 January 2016,22,Sprained mcl in left knee
Matthew Dellavedova,Cavaliers,05 November 2014,08 December 2014,33,Sprained mcl in left knee
Marc Gasol,Grizzlies,25 November 2013,14 January 2014,50,Sprained mcl in left knee
Alex Caruso,Thunder,10 April 2025,16 April 2025,6,Sprained right ankle
Jalen Brunson,Knicks,07 March 2025,06 April 2025,30,Sprained right ankle
Tim Hardaway Jr.,Pistons,22 March 2025,25 March 2025,3,Sprained right ankle
Domantas Sabonis,Kings,18 March 2025,24 March 2025,6,Sprained right ankle
Jaden Hardy,Mavericks,04 March 2025,19 March 2025,15,Sprained right ankle
Josh Giddey,Bulls,12 March 2025,19 March 2025,7,Sprained right ankle
Luka Doncic,Lakers,14 March 2025,16 March 2025,2,Sprained right ankle
Matisse Thybulle,Blazers,26 November 2024,12 March 2025,106,Sprained right ankle
Jonathan Kuminga,Warriors,05 January 2025,11 March 2025,65,Sprained right ankle
CJ McCollum,Pelicans,28 February 2025,01 March 2025,1,Sprained right ankle
PJ Washington,Mavericks,10 February 2025,21 February 2025,11,Sprained right ankle
Scoot Henderson,Blazers,11 February 2025,20 February 2025,9,Sprained right ankle
Cameron Johnson,Nets,22 January 2025,05 February 2025,14,Sprained right ankle
Vince Williams Jr.,Grizzlies,20 November 2024,05 February 2025,77,Sprained right ankle
Jaden Hardy,Mavericks,19 January 2025,25 January 2025,6,Sprained right ankle
Brice Sensabaugh,Jazz,22 January 2025,24 January 2025,2,Sprained right ankle
Cameron Johnson,Nets,15 January 2025,19 January 2025,4,Sprained right ankle
Deni Avdija,Blazers,18 January 2025,19 January 2025,1,Sprained right ankle
Tristan Vukcevic,Wizards,09 January 2025,15 January 2025,6,Sprained right ankle
Sam Merrill,Cavaliers,03 January 2025,09 January 2025,6,Sprained right ankle
Luguentz Dort,Thunder,27 December 2024,29 December 2024,2,Sprained right ankle
Josh Giddey,Bulls,19 December 2024,28 December 2024,9,Sprained right ankle
Jaden Hardy,Mavericks,07 December 2024,25 December 2024,18,Sprained right ankle
Jamal Murray,Nuggets,23 December 2024,25 December 2024,2,Sprained right ankle
Jalen Suggs,Magic,21 December 2024,23 December 2024,2,Sprained right ankle
Tristan Vukcevic,Wizards,14 April 2024,23 December 2024,253,Sprained right ankle
Scottie Barnes,Raptors,11 December 2024,19 December 2024,8,Sprained right ankle
Nick Richards,Hornets,07 December 2024,08 December 2024,1,Sprained right ankle
Andre Drummond,76ers,02 December 2024,06 December 2024,4,Sprained right ankle
Kevin Huerter,Kings,01 December 2024,03 December 2024,2,Sprained right ankle
Malik Monk,Kings,11 November 2024,25 November 2024,14,Sprained right ankle
Bruno Fernando,Raptors,17 November 2024,24 November 2024,7,Sprained right ankle
Jaime Jaquez Jr.,Heat,18 November 2024,23 November 2024,5,Sprained right ankle
Jimmy Butler,Heat,09 November 2024,18 November 2024,9,Sprained right ankle
Tre Jones,Spurs,25 October 2024,16 November 2024,22,Sprained right ankle
Trendon Watford,Nets,27 March 2023,16 November 2024,600,Sprained right ankle
Vlatko Cancar,Nuggets,01 November 2024,15 November 2024,14,Sprained right ankle
Malaki Branham,Spurs,09 November 2024,13 November 2024,4,Sprained right ankle
Tim Hardaway Jr.,Mavericks,25 April 2024,06 May 2024,11,Sprained right ankle
Cam Reddish,Lakers,16 April 2024,30 April 2024,14,Sprained right ankle
PJ Washington,Mavericks,13 April 2024,21 April 2024,8,Sprained right ankle
Jae'Sean Tate,Rockets,05 April 2024,15 April 2024,10,Sprained right ankle
Franz Wagner,Magic,09 April 2024,12 April 2024,3,Sprained right ankle
Marjon Beauchamp,Bucks,05 April 2024,12 April 2024,7,Sprained right ankle
Josh Green,Mavericks,16 March 2024,10 April 2024,25,Sprained right ankle
Jusuf Nurkic,Suns,09 April 2024,10 April 2024,1,Sprained right ankle
Patrick Beverley,Bucks,03 April 2024,09 April 2024,6,Sprained right ankle
Jalen Johnson,Hawks,20 March 2024,01 April 2024,12,Sprained right ankle
Aleksandar Vezenkov,Kings,13 February 2024,31 March 2024,47,Sprained right ankle
Jusuf Nurkic,Suns,27 March 2024,29 March 2024,2,Sprained right ankle
Omer Yurtseven,Jazz,23 March 2024,25 March 2024,2,Sprained right ankle
Cam Reddish,Lakers,10 March 2024,22 March 2024,12,Sprained right ankle
Tobias Harris,76ers,16 March 2024,22 March 2024,6,Sprained right ankle
Jaylen Brown,Celtics,17 March 2024,18 March 2024,1,Sprained right ankle
Stephen Curry,Warriors,09 March 2024,16 March 2024,7,Sprained right ankle
Jalen Johnson,Hawks,07 March 2024,15 March 2024,8,Sprained right ankle
Cameron Johnson,Nets,06 March 2024,13 March 2024,7,Sprained right ankle
Jalen Williams,Thunder,12 March 2024,13 March 2024,1,Sprained right ankle
Devin Booker,Suns,03 March 2024,11 March 2024,8,Sprained right ankle
Victor Wembanyama,Spurs,06 March 2024,10 March 2024,4,Sprained right ankle
Cameron Thomas,Nets,27 February 2024,09 March 2024,11,Sprained right ankle
Cam Reddish,Lakers,24 January 2024,28 February 2024,35,Sprained right ankle
Jusuf Nurkic,Suns,23 February 2024,25 February 2024,2,Sprained right ankle
Norman Powell,Clippers,23 February 2024,25 February 2024,2,Sprained right ankle
Max Christie,Lakers,09 February 2024,22 February 2024,13,Sprained right ankle
Jalen Brunson,Knicks,08 February 2024,10 February 2024,2,Sprained right ankle
Patrick Baldwin Jr.,Wizards,09 February 2024,10 February 2024,1,Sprained right ankle
Aleksandar Vezenkov,Kings,24 January 2024,07 February 2024,14,Sprained right ankle
Dalen Terry,Bulls,31 January 2024,06 February 2024,6,Sprained right ankle
Jalen Williams,Thunder,30 January 2024,06 February 2024,7,Sprained right ankle
Luka Doncic,Mavericks,31 January 2024,02 February 2024,2,Sprained right ankle
Grayson Allen,Suns,31 January 2024,01 February 2024,1,Sprained right ankle
Franz Wagner,Magic,05 January 2024,21 January 2024,16,Sprained right ankle
Zach Collins,Spurs,30 December 2023,19 January 2024,20,Sprained right ankle
Patrick Williams,Bulls,13 January 2024,18 January 2024,5,Sprained right ankle
